Id,theme_id,style_id,section_id,language_id,gender_id,self_user,content
1,1,1,4,165,0,1,"<p>NAME loves to spend time with his family. While some people can't enjoy social gatherings because they are so busy worrying about work, he can fully enjoy the present moment with the people he is with.NAME is hardworking and always looking to improve they way he does things. That said, friendships and happiness are more important to him than results.For NAME, friendship is about achieving things together. That might mean working on something challenging together, or it might mean just NAME and his friends supporting each other in their respective journeys. His best friendships are likely to be with people who are always moving forward in life - otherwise, there's nothing interesting to share!</p>"
2,1,2,4,165,0,1,"<p>Family matters a lot to NAME. He loves to spend time with them, just enjoying the present moment.Some people measure their self-worth by how much money they make and how good they look to others, but not NAME. He cares more about being happy and feeling good than external signals like money, adoration, and attention. That said, NAME is always looking to improve the way he does things.</p>"
3,1,3,4,165,0,1,"<p>NAME likes to lead other people - to be in a position of power and authority. He'd rather be in control than told what to do. He also likes to stand out and be recognized for his success.While he cares about his family, it doesn't play as central of a role in his life as it does for some people.</p>"
4,1,4,4,165,0,1,"<p>NAME cares more about money and status than most. That said, these things still aren't that important to him. It's not a defining factor of his personality.NAME isn't as hard working as others.</p>"
5,1,5,4,165,0,1,"<p>While others have particular drivers in life that motivate them, NAME is more flexible. It's not that he's unmotivated - he just sort of does his thing. NAME would rather be happy than successful. If his financial situation allows, he may decide to not focus on his career at all.NAME isn't arrogant and doesn't try to assert power and authority over other people. Some might even say that he's humble and unassuming. That doesn't mean he's a pushover, though. He just doesn't try to pretend that he's something that he's not.</p>"
6,1,6,4,165,0,1,"<p>NAME is motivated by family, community and relationships rather than power, fame, or material success. If he has children, they are an essential source of meaning in his life. And if he doesn't, he likely channels his nurturing nature onto something else - like a garden, pets, or community project.Social interactions for him don't necessarily have a goal. Unlike some, he is fully present, enjoying each little moment - something that is especially important to him in romance. The quality time is reward in itself.Competing with others is an important form of bonding for some people, but that's not his style. He's fine with games, but it's not about winning or losing - it's an opportunity to connect.</p>"
7,2,1,2,165,0,1,"<p>Most people like helping others, but for NAME, it's a fundamental part of who he is. It's not an obligation, it's a source of satisfaction. He brings this to the relationship.A strong emotional connection is vital to NAME. He loves the feeling of being intimately close with OTHERNAME. He especially cherishes one-on-one time.He's not selfish, and he recognizes that he has needs too. It's important to him that he can open up to OTHERNAME when feeling down, and in general, feeling appreciated is important to him.</p>"
8,2,2,2,165,0,1,"<p>NAME wants to be there for OTHERNAME. But when he is dealing with his own problems, those often end up taking up much of his energy.He may cling to the relationship, and likely puts a lot of effort into earning OTHERNAME's approval and acceptance.In any relationship, disagreements are inevitable. But fighting for what he wants can take a lot of emotional energy that he might not have. So he self-sacrifices. For NAME, it's easier to sacrifice something small in the relationship than deal with problems.He wants to deal with the problems - he truly does. But making a concession is easier than having a fight that could leave him drained. And if he is overwhelmed, he's likely to sacrifice his own needs and interests if he thinks it will make OTHERNAME happy.</p>"
9,2,3,2,165,0,1,"<p>NAME only truly, *deeply* cares about the people he is closest to. His romantic partner is one of them.In a relationship, he is supportive and caring. A strong emotional connection is important to him. It's very meaningful to him when he can spend time with his partner, just the two of them.NAME wants to be able to open up to his partner when he is feeling down, and appreciates it when they show him affection.</p>"
10,2,1,4,165,0,1,"<p>Most people like helping others, but for NAME, it's a fundamental part of who he is. It's not an obligation, it's a source of satisfaction. He brings this to the relationship.A strong emotional connection is vital to NAME. He loves the feeling of being intimately close with OTHERNAME. He especially cherishes one-on-one time.He's not selfish, and he recognizes that he has needs too. It's important to him that he can open up to OTHERNAME when feeling down, and in general, feeling appreciated is important to him.</p>"
11,2,2,4,165,0,1,"<p>NAME wants to be there for OTHERNAME. But when he is dealing with his own problems, those often end up taking up much of his energy.He may cling to the relationship, and likely puts a lot of effort into earning OTHERNAME's approval and acceptance.In any relationship, disagreements are inevitable. But fighting for what he wants can take a lot of emotional energy that he might not have. So he self-sacrifices. For NAME, it's easier to sacrifice something small in the relationship than deal with problems.He wants to deal with the problems - he truly does. But making a concession is easier than having a fight that could leave him drained. And if he is overwhelmed, he's likely to sacrifice his own needs and interests if he thinks it will make OTHERNAME happy.</p>"
12,2,3,4,165,0,1,"<p>NAME only truly, *deeply* cares about the people he is closest to. His romantic partner is one of them.In a relationship, he is supportive and caring. A strong emotional connection is important to him. It's very meaningful to him when he can spend time with his partner, just the two of them.NAME wants to be able to open up to his partner when he is feeling down, and appreciates it when they show him affection.</p>"
13,3,1,3,165,0,1,<p>NAME is a highly creative person that loves to get lost in thought and create things.He loves sharing ideas and having stimulating conversations. Having those kinds of conversations with OTHERNAME would enrich the relationship for him.</p>
14,3,2,3,165,0,1,"<p>NAME is a practical person. He doesn't spend much of his time idly day-dreaming about what could be. He's more focused on what's concrete and real.While NAME is open to having deep philosophical conversations, it's a not a core interest of his.</p>"
15,4,1,4,165,0,1,"<p>Nearly everyone likes to travel, but for NAME, it's even more important. Spontaneous, exciting adventures energize him.While NAME isn't completely opposed to planning, he's not obsessive about planning out every little detail ahead of time. He's willing to take risks.It's likely that NAME will want to travel and have adventures with OTHERNAME.</p>"
16,4,2,4,165,0,1,"<p>More than most people, NAME prefers predictable routines. He puts a lot of emphasis on stability.NAME generally prefers to be cautious when making decisions. You won't find him doing crazy, dangerous things for fun.</p>"
17,4,3,4,165,0,1,"<p>Some people love to travel and have exciting adventures. Others are cautious and follow rules.NAME is more moderate than those who are on either of these extremes. You probably won't find him skydiving, but he also isn't particularly cautious.</p>"
18,5,1,3,165,0,1,"<p>Some people find the predictability of rules comforting. Not NAME. They don't like being constrained, and prefer to do things their own way.For NAME, rules represent a box that is not only limiting, but inherently *boring*.NAME gives OTHERNAME the freedom to do things his way, and expects the same freedom in return.</p>"
19,5,2,3,165,0,1,"<p>NAME likes to do things according to a set schedule. Chaos and constant changes could be exhausting for him.NAME believes that marriages work best when each person has their own defined roles, and don't interfere with each other.</p>"
20,5,3,3,165,0,1,<p>Some people like rules and order. Others are more rebellious - they feel rules are constraining and tend to break them.NAME doesn't really care either way. He is flexible and will get on fine with both kinds of people.</p>
21,6,1,3,165,0,1,"<p>Most people think of variety as a preference, a nice to have. But as it turns out, it's not. For NAME, variety and new experiences are a *need*. New experiences energize him. If he did the same thing every day, he would become deeply unhappy.It's important to NAME that OTHERNAME is open to lots of new experiences - or at the very least, encourages him to get the variety he needs on his own.</p>"
