Id,theme_id,style_id_1,style_id_2,section_id,usage,positive,language_id,content
42,1,-1,-1,0,0,0,165,<p>Generic highlight about theme 1</p>
43,3,-1,-1,0,0,1,165,<p>Generic highlight about theme 3</p>
44,4,-1,-1,0,0,0,165,<p>Generic highlight about theme 4</p>
45,5,-1,-1,0,0,1,165,<p>Generic highlight about theme 5</p>
46,6,-1,-1,0,0,0,165,<p>Generic highlight about theme 6</p>
47,7,-1,-1,0,0,1,165,<p>Generic highlight about theme 7</p>
48,8,-1,-1,0,0,0,165,<p>Generic highlight about theme 8</p>
49,9,-1,-1,0,0,1,165,<p>Generic highlight about theme 9</p>
50,10,-1,-1,0,0,0,165,<p>Generic highlight about theme 10</p>
51,11,-1,-1,0,0,1,165,<p>Generic highlight about theme 11</p>
52,12,-1,-1,0,0,0,165,<p>Generic highlight about theme 12</p>
53,13,-1,-1,0,0,1,165,<p>Generic highlight about theme 13</p>
54,1,-1,-1,0,0,0,165,<p>Generic highlight about theme 1</p>
55,3,-1,-1,0,0,1,165,<p>Generic highlight about theme 3</p>
56,4,-1,-1,0,0,0,165,<p>Generic highlight about theme 4</p>
57,5,-1,-1,0,0,1,165,<p>Generic highlight about theme 5</p>
58,6,-1,-1,0,0,0,165,<p>Generic highlight about theme 6</p>
59,7,-1,-1,0,0,1,165,<p>Generic highlight about theme 7</p>
60,8,-1,-1,0,0,0,165,<p>Generic highlight about theme 8</p>
61,9,-1,-1,0,0,1,165,<p>Generic highlight about theme 9</p>
62,10,-1,-1,0,0,0,165,<p>Generic highlight about theme 10</p>
63,11,-1,-1,0,0,1,165,<p>Generic highlight about theme 11</p>
64,12,-1,-1,0,0,0,165,<p>Generic highlight about theme 12</p>
65,13,-1,-1,0,0,1,165,<p>Generic highlight about theme 13</p>
66,15,-1,-1,0,0,0,165,<p>Generic highlight about Conflict Dynamics</p>
1,2,-1,2,2,1,0,165,"<p>If you're with someone in altruism style 2, what we say about Altruism goes into Section 2, Emotional Life.</p>"
5,2,1,1,4,1,1,165,"<p>As niether of you is in style 202, the Altruism theme gets put into section 4, Dreams and Goals.</p>"
6,2,1,3,4,1,1,165,"<p>As niether of you is in style 202, the Altruism theme gets put into section 4, Dreams and Goals.</p>"
9,1,-1,-1,4,1,0,165,<p>Generic intro about theme 1</p>
10,3,-1,-1,3,1,1,165,<p>Generic intro about theme 3</p>
11,4,-1,-1,4,1,0,165,<p>Generic intro about theme 4</p>
12,5,-1,-1,3,1,1,165,<p>Generic intro about theme 5</p>
