Number,Style,Section,Intro,you_form_male_text,you_form_female_text,he_form_male_text,she_form_female_text
101,1,1,1,"NAME loves to be efficient and constantly improve the way they do things. That said, friendships and happiness are more important to them than results, and they care deeply about family. you_form_male_text","NAME loves to be efficient and constantly improve the way they do things. That said, friendships and happiness are more important to them than results, and they care deeply about family. you_form_female_text","NAME loves to be efficient and constantly improve the way they do things. That said, friendships and happiness are more important to them than results, and they care deeply about family. he_form_male_text","NAME loves to be efficient and constantly improve the way they do things. That said, friendships and happiness are more important to them than results, and they care deeply about family. she_form_female_text"
102,1,2,1,NAME loves to be efficient and constantly improve the way they do things. They care more about being happy and feeling good than external signals like money and adoration. They love spending time with family. you_form_male_text,NAME loves to be efficient and constantly improve the way they do things. They care more about being happy and feeling good than external signals like money and adoration. They love spending time with family. you_form_female_text,NAME loves to be efficient and constantly improve the way they do things. They care more about being happy and feeling good than external signals like money and adoration. They love spending time with family. he_form_male_text,NAME loves to be efficient and constantly improve the way they do things. They care more about being happy and feeling good than external signals like money and adoration. They love spending time with family. she_form_female_text
103,1,3,1,"NAME likes to lead other people. They’d rather be in control than told what to do. They also like to stand out, and be recognized for their success.
While they do care about their family, it doesn’t play as central of a role in their life as it does for some people. you_form_male_text","NAME likes to lead other people. They’d rather be in control than told what to do. They also like to stand out, and be recognized for their success.
While they do care about their family, it doesn’t play as central of a role in their life as it does for some people. you_form_female_text","NAME likes to lead other people. They’d rather be in control than told what to do. They also like to stand out, and be recognized for their success.
While they do care about their family, it doesn’t play as central of a role in their life as it does for some people. he_form_male_text","NAME likes to lead other people. They’d rather be in control than told what to do. They also like to stand out, and be recognized for their success.
While they do care about their family, it doesn’t play as central of a role in their life as it does for some people. she_form_female_text"
104,1,4,1,"NAME cares more about money and status than most. That said, these things still aren’t that important to them. It’s not a defining factor of their personality.
To understand NAME better, we’d recommend looking at other aspects of their personality. you_form_male_text","NAME cares more about money and status than most. That said, these things still aren’t that important to them. It’s not a defining factor of their personality.
To understand NAME better, we’d recommend looking at other aspects of their personality. you_form_female_text","NAME cares more about money and status than most. That said, these things still aren’t that important to them. It’s not a defining factor of their personality.
To understand NAME better, we’d recommend looking at other aspects of their personality. he_form_male_text","NAME cares more about money and status than most. That said, these things still aren’t that important to them. It’s not a defining factor of their personality.
To understand NAME better, we’d recommend looking at other aspects of their personality. she_form_female_text"
105,1,5,1,"While others have particular drivers in life that motivate them, NAME is more flexible.
It’s not that they are unmotivated. They just sort of do their thing. you_form_male_text","While others have particular drivers in life that motivate them, NAME is more flexible.
It’s not that they are unmotivated. They just sort of do their thing. you_form_female_text","While others have particular drivers in life that motivate them, NAME is more flexible.
It’s not that they are unmotivated. They just sort of do their thing. he_form_male_text","While others have particular drivers in life that motivate them, NAME is more flexible.
It’s not that they are unmotivated. They just sort of do their thing. she_form_female_text"
106,1,6,1,"You are motivated by family, community and relationships rather than power, fame, or material success. If you have children, they are an essential source of meaning in your life. And if you don’t, you likely channel your nurturing nature onto something else - like a garden, pets, or community project.
Social interactions for you don’t necessarily have a goal. Unlike some, you are fully present, enjoying each little moment. The quality time is reward in itself. you_form_male_text","You are motivated by family, community and relationships rather than power, fame, or material success. If you have children, they are an essential source of meaning in your life. And if you don’t, you likely channel your nurturing nature onto something else - like a garden, pets, or community project.
Social interactions for you don’t necessarily have a goal. Unlike some, you are fully present, enjoying each little moment. The quality time is reward in itself. you_form_female_text","You are motivated by family, community and relationships rather than power, fame, or material success. If you have children, they are an essential source of meaning in your life. And if you don’t, you likely channel your nurturing nature onto something else - like a garden, pets, or community project.
Social interactions for you don’t necessarily have a goal. Unlike some, you are fully present, enjoying each little moment. The quality time is reward in itself. he_form_male_text","You are motivated by family, community and relationships rather than power, fame, or material success. If you have children, they are an essential source of meaning in your life. And if you don’t, you likely channel your nurturing nature onto something else - like a garden, pets, or community project.
Social interactions for you don’t necessarily have a goal. Unlike some, you are fully present, enjoying each little moment. The quality time is reward in itself. she_form_female_text"
201,2,1,1,"You are deeply altruistic, gaining meaning from helping others. When someone is in trouble, you feel their pain, and are there for them - supportive, patient and empathetic, regardless of the problem.
Most people like helping others, but for you, it’s a fundamental part of who you are. It’s not an obligation, it’s a source of satisfaction. you_form_male_text","You are deeply altruistic, gaining meaning from helping others. When someone is in trouble, you feel their pain, and are there for them - supportive, patient and empathetic, regardless of the problem.
Most people like helping others, but for you, it’s a fundamental part of who you are. It’s not an obligation, it’s a source of satisfaction. you_form_female_text","You are deeply altruistic, gaining meaning from helping others. When someone is in trouble, you feel their pain, and are there for them - supportive, patient and empathetic, regardless of the problem.
Most people like helping others, but for you, it’s a fundamental part of who you are. It’s not an obligation, it’s a source of satisfaction. he_form_male_text","You are deeply altruistic, gaining meaning from helping others. When someone is in trouble, you feel their pain, and are there for them - supportive, patient and empathetic, regardless of the problem.
Most people like helping others, but for you, it’s a fundamental part of who you are. It’s not an obligation, it’s a source of satisfaction. she_form_female_text"
202,2,2,1,"You genuinely care about others. But you face a challenge.
Your own problems demand a lot of energy. Sometimes, it’s emotionally exhausting. When you are dealing with your own issues, adding someone else’s into the mix can be too much.
This means that compared to others, you’re less easily swayed by others’ moods. If you’re in a bad mood, and everyone around you is happy, it can be hard for you to break out of your bad mood.
This is true too when others are suffering. You care, but if you are dealing with your own problems, those end up taking up your energy.
This means that some people may read you as distant, or even selfish. But that’s just not the case. Sharing this aspect of your personality with them may help them understand.
As it turns out, 27% of people are similar to you in this way. you_form_male_text","You genuinely care about others. But you face a challenge.
Your own problems demand a lot of energy. Sometimes, it’s emotionally exhausting. When you are dealing with your own issues, adding someone else’s into the mix can be too much.
This means that compared to others, you’re less easily swayed by others’ moods. If you’re in a bad mood, and everyone around you is happy, it can be hard for you to break out of your bad mood.
This is true too when others are suffering. You care, but if you are dealing with your own problems, those end up taking up your energy.
This means that some people may read you as distant, or even selfish. But that’s just not the case. Sharing this aspect of your personality with them may help them understand.
As it turns out, 27% of people are similar to you in this way. you_form_female_text","You genuinely care about others. But you face a challenge.
Your own problems demand a lot of energy. Sometimes, it’s emotionally exhausting. When you are dealing with your own issues, adding someone else’s into the mix can be too much.
This means that compared to others, you’re less easily swayed by others’ moods. If you’re in a bad mood, and everyone around you is happy, it can be hard for you to break out of your bad mood.
This is true too when others are suffering. You care, but if you are dealing with your own problems, those end up taking up your energy.
This means that some people may read you as distant, or even selfish. But that’s just not the case. Sharing this aspect of your personality with them may help them understand.
As it turns out, 27% of people are similar to you in this way. he_form_male_text","You genuinely care about others. But you face a challenge.
Your own problems demand a lot of energy. Sometimes, it’s emotionally exhausting. When you are dealing with your own issues, adding someone else’s into the mix can be too much.
This means that compared to others, you’re less easily swayed by others’ moods. If you’re in a bad mood, and everyone around you is happy, it can be hard for you to break out of your bad mood.
This is true too when others are suffering. You care, but if you are dealing with your own problems, those end up taking up your energy.
This means that some people may read you as distant, or even selfish. But that’s just not the case. Sharing this aspect of your personality with them may help them understand.
As it turns out, 27% of people are similar to you in this way. she_form_female_text"
203,2,3,1,"You have an inner circle of people you care deeply about. With those people, you are supportive, considerate, and loyal.
But this doesn’t extend to everyone in the world. For those outside your circle, you’re friendly, but you’re unlikely to deeply care about them.
That’s not to say you aren’t or can’t be altruistic, though.
When you’re altruistic, you’ll find that you have a rational approach. You figure out what will have the most impact, instead of making emotionally-driven decisions.
Indeed, some of the most impactful philanthropists in the world are like you in this way.
This is in contrast to some others, who are altruistic for more emotional reasons - because others’ suffering pulls at their heart strings. you_form_male_text","You have an inner circle of people you care deeply about. With those people, you are supportive, considerate, and loyal.
But this doesn’t extend to everyone in the world. For those outside your circle, you’re friendly, but you’re unlikely to deeply care about them.
That’s not to say you aren’t or can’t be altruistic, though.
When you’re altruistic, you’ll find that you have a rational approach. You figure out what will have the most impact, instead of making emotionally-driven decisions.
Indeed, some of the most impactful philanthropists in the world are like you in this way.
This is in contrast to some others, who are altruistic for more emotional reasons - because others’ suffering pulls at their heart strings. you_form_female_text","You have an inner circle of people you care deeply about. With those people, you are supportive, considerate, and loyal.
But this doesn’t extend to everyone in the world. For those outside your circle, you’re friendly, but you’re unlikely to deeply care about them.
That’s not to say you aren’t or can’t be altruistic, though.
When you’re altruistic, you’ll find that you have a rational approach. You figure out what will have the most impact, instead of making emotionally-driven decisions.
Indeed, some of the most impactful philanthropists in the world are like you in this way.
This is in contrast to some others, who are altruistic for more emotional reasons - because others’ suffering pulls at their heart strings. he_form_male_text","You have an inner circle of people you care deeply about. With those people, you are supportive, considerate, and loyal.
But this doesn’t extend to everyone in the world. For those outside your circle, you’re friendly, but you’re unlikely to deeply care about them.
That’s not to say you aren’t or can’t be altruistic, though.
When you’re altruistic, you’ll find that you have a rational approach. You figure out what will have the most impact, instead of making emotionally-driven decisions.
Indeed, some of the most impactful philanthropists in the world are like you in this way.
This is in contrast to some others, who are altruistic for more emotional reasons - because others’ suffering pulls at their heart strings. she_form_female_text"
301,3,1,1,"NAME is a highly creative person that loves to get lost in thought, create things, and have intellectual and philosophical discussions.
Having a creative outlet is very important to them. you_form_male_text","NAME is a highly creative person that loves to get lost in thought, create things, and have intellectual and philosophical discussions.
Having a creative outlet is very important to them. you_form_female_text","NAME is a highly creative person that loves to get lost in thought, create things, and have intellectual and philosophical discussions.
Having a creative outlet is very important to them. he_form_male_text","NAME is a highly creative person that loves to get lost in thought, create things, and have intellectual and philosophical discussions.
Having a creative outlet is very important to them. she_form_female_text"
